,Trade ID,Ticker,Date,Strike,Type,Action,Expiration,DTE,Credit,Debit,Cost,Underlying,ImpliedVol,Delta,Theta
0,1,UNG,21/9/2020,7.0,P,BTO,16/10/2020,25,,-5.14,5.14,11.954999923706055,120.086669921875,-0.031274834864543716,-0.005280622339268954
1,1,UNG,21/9/2020,16.0,C,BTO,16/10/2020,25,,-8.14,8.14,11.954999923706055,74.737548828125,0.08246247693679637,-0.0071383573397522885
2,1,UNG,21/9/2020,10.0,P,STO,16/10/2020,25,16.84,,16.84,11.954999923706055,69.2901611328125,-0.14026301873679436,0.00961236252182783
3,1,UNG,21/9/2020,13.0,C,STO,16/10/2020,25,32.84,,32.84,11.954999923706055,56.35833740234375,0.3121534759160407,0.012572433055585128
4,2,FTCH,21/9/2020,23.0,P,STO,16/10/2020,25,73.84,,73.84,23.24000072479248,35.6597900390625,-0.4343802136118561,0.01677384349621844
5,2,FTCH,21/9/2020,23.0,P,BTC,16/10/2020,25,,-72.14,72.14,23.24000072479248,34.95025634765625,-0.433798384435375,0.01643091376381058
6,3,WKHS,1/10/2020,20.0,P,STO,20/11/2020,50,319.28,,319.28,25.6899995803833,169.51370239257812,-0.23732229530579552,0.04954491140111118
7,4,SQQQ,5/10/2020,21.0,P,STO,20/11/2020,46,215.29,,215.29,23.545000076293945,104.74395751953125,-0.3096146643084714,0.03329630614295464
8,5,FXI,7/10/2020,37.0,P,BTO,20/11/2020,44,,-29.14,29.14,42.22968744349215,33.664703369140625,-0.1151007800183228,-0.010752947806810955
9,5,FXI,7/10/2020,47.0,C,BTO,20/11/2020,44,,-15.14,15.14,42.22968744349215,22.922515869140625,0.09855943588416183,-0.006741857620146272
10,5,FXI,7/10/2020,39.0,P,STO,20/11/2020,44,39.84,,39.84,42.22968744349215,26.7181396484375,-0.17955968012630347,0.011444519209173623
11,5,FXI,7/10/2020,45.0,C,STO,20/11/2020,44,51.84,,51.84,42.22968744349215,24.8870849609375,0.24882806489232323,0.01341765170252831
12,1,UNG,8/10/2020,7.0,P,EXP,16/10/2020,8,,,0.0,11.644999980926514,,,
13,1,UNG,8/10/2020,16.0,C,EXP,16/10/2020,8,,,0.0,11.644999980926514,,,
14,1,UNG,8/10/2020,10.0,P,BTC,16/10/2020,8,,-11.14,11.14,11.644999980926514,96.1761474609375,-0.1266635198198629,0.021486750804673643
15,1,UNG,8/10/2020,13.0,C,BTC,16/10/2020,8,,-15.14,15.14,11.644999980926514,82.611083984375,0.20128085027430737,0.025076183190997227
16,6,UNG,9/10/2020,7.5,P,BTO,27/11/2020,49,,-34.27,34.27,12.454999923706055,131.591796875,-0.09751236947247471,-0.010514922713148632
17,6,UNG,9/10/2020,15.5,C,BTO,27/11/2020,49,,-68.27,68.27,12.454999923706055,89.21432495117188,0.3079868578646928,-0.014700986235603617
18,6,UNG,9/10/2020,10.0,P,STO,27/11/2020,49,101.71,,101.71,12.454999923706055,124.44686889648438,-0.23810788370409453,0.01782819820554684
19,6,UNG,9/10/2020,13.0,C,STO,27/11/2020,49,149.71,,149.71,12.454999923706055,94.52056884765625,0.5212826058620761,0.01767110661856309
20,4,SQQQ,12/10/2020,21.0,P,BTC,20/11/2020,39,,-285.71,285.71,19.855000495910645,84.85794067382812,-0.5237566925522266,0.027755353946610994
21,7,SQQQ,12/10/2020,20.0,P,STO,18/12/2020,67,305.28,,305.28,19.855000495910645,88.64021301269531,-0.43032019221570256,0.021787977436637233
22,7,SQQQ,12/10/2020,20.0,P,BTC,18/12/2020,67,,-335.71,335.71,19.855000495910645,97.7630615234375,-0.4221333126523272,0.023964709573722712
23,8,SQQQ,12/10/2020,18.0,P,STO,19/3/2021,158,374.28,,374.28,19.855000495910645,95.31784057617188,-0.31672782567645863,0.013755535219132777
24,8,SQQQ,12/10/2020,18.0,P,BTC,19/3/2021,158,,-380.71,380.71,19.855000495910645,96.70066833496094,-0.3159399930445985,0.013942695320742946
25,9,GOLD,19/10/2020,26.0,P,STO,20/11/2020,32,60.29,,60.29,27.376648752901303,37.22381591796875,-0.2976491493167376,0.016094235875840773
26,3,WKHS,21/10/2020,20.0,P,BTC,20/11/2020,30,,-297.71,297.71,19.684999465942383,125.21743774414062,-0.44529389220373916,0.04622233180981459
27,10,WKHS,21/10/2020,18.0,P,STO,18/12/2020,58,317.28,,317.28,19.684999465942383,134.29641723632812,-0.33076762455283654,0.03266532450967531
28,6,UNG,23/10/2020,7.5,P,EXP,27/11/2020,35,,,0.0,12.164999961853027,,,
29,6,UNG,23/10/2020,15.5,C,STC,27/11/2020,35,49.71,,49.71,12.164999961853027,97.6409912109375,0.25883367357264464,0.017076974450136385
30,6,UNG,23/10/2020,10.0,P,BTC,27/11/2020,35,,-22.27,22.27,12.164999961853027,68.572998046875,-0.15065860596566855,0.00857296250970781
